"Issue","Total","Scanned Courses"
"PDF - File is missing a title element","8994","456"
"PDF - File lacks tags needed for navigation by assistive technologies","8815","451"
"PPT - Document contains images without alternative text","7225","290"
"DOC - File is missing a title element","6597","368"
"DOC - File does not include headings for structure","6086","346"
"PDF - Image-based file detected","1518","196"
"DOC - Document contains images without alternative text","1213","202"
"DOC - Older file format detected","1171","84"
"DOC - Table headers are missing","983","121"
"PDF - File is password-protected and could not be scanned","435","92"
"XLS - Older file format detected","349","68"
"PPT - Older file format detected","318","29"
"DOC - Image-based file detected","51","13"
"PPT - File exceeds size limit","32","22"
"PDF - An error occurred while checking this file","30","11"
"PDF - File exceeds size limit","30","12"
"PPT - Image-based file detected","21","14"
"PPT - An error occurred while checking this file","7","6"
