"Issue","Issue Severity","Active","Fixed","Resolved","Fixed/Resolved","Scanned Courses"
"Adjacent links found","error","246","0","4","1.6%","115"
"Link does not contain text","error","1954","56","5","3.0%","304"
"Insufficient text color contrast with the background","error","1562","23","0","1.5%","127"
"Potential use of color alone to communicate information","error","7308","27","7","0.5%","234"
"Deprecated font tag in use","error","8","0","0","0.0%","2"
"One or more heading elements do not contain text","error","438","0","0","0.0%","75"
"Heading levels have been skipped","error","1","0","0","0.0%","1"
"Alternative text uses filename rather than a descriptive label","error","5070","19","0","0.4%","298"
"Alternative text is too lengthy for optimal screen reader experience","error","75","0","0","0.0%","11"
"Linked image does not have a descriptive alternative text","error","29","0","0","0.0%","19"
"Alternative text appears to be a generic placeholder","error","1","0","1","50%","2"
"Image does not include an "alt" attribute","error","307","62","2","17%","27"
"Decorative image does not have an empty alternative text","error","13","0","0","0.0%","5"
"Page contains skipped headings","error","1638","7","12","1.1%","308"
"Table does not include header rows or columns","error","3567","47","23","1.9%","276"
"Table headers are missing row or column scope attributes","error","711","0","0","0.0%","50"
"Table without content detected","error","156","0","0","0.0%","30"
"Captions could not be checked for this YouTube video due to its privacy settings","error","125","0","0","0.0%","38"
"Captions could not be checked for this YouTube video due to its privacy settings","error","334","0","0","0.0%","80"
"Captions are in a language different from the course default","error","56","0","0","0.0%","26"
"Video captions are missing","error","1044","0","54","4.9%","164"
"Video captions appear to be automatically generated and may contain errors","error","3875","0","105","2.6%","245"
"Links to sound files need transcripts","suggestion","12","0","0","0.0%","4"
"Link has nondescript text","suggestion","17527","152","25","1.0%","495"
"Content may exceed recommended length for readability (3000+ words)","suggestion","84","0","0","0.0%","51"
"Linked or embedded external content may not meet accessibility standards","suggestion","1813","0","59","3.2%","217"
"Headings may be missing","suggestion","2397","0","15","0.6%","377"
"Multimedia object may not be accessible","suggestion","48","0","0","0.0%","2"
"Styles might be used instead of semantic markup for structure","suggestion","19889","71","184","1.3%","474"
"Styles might be used for tabular data where semantic markup may be more appropriate","suggestion","1947","0","0","0.0%","17"
"Could not connect to Kaltura to check captions","suggestion","8","0","0","0.0%","3"
"Could not connect to Vimeo to check captions","suggestion","83","0","0","0.0%","11"
"Could not connect to YouTube to check captions","suggestion","6","0","0","0.0%","6"
"Caption status could not be verified for this video","suggestion","1","0","0","0.0%","1"
